symbol,config,window,pf,trades,dd_pct,balance,profitable
EURJPY,NoMonFri,2022,0.77,12,0.75,9965.02,N
EURJPY,NoMonFri,2023,1.29,12,1.38,10054.0,Y
EURJPY,NoMonFri,2024,1.17,9,1.29,10023.36,Y
EURJPY,NoMonFri,2025,4.85,9,0.52,10403.03,Y
EURJPY,NoMonFri,Full,1.81,46,1.38,10500.51,Y
GBPUSD,NoMonFri,2022,1.72,19,1.26,10299.82,Y
GBPUSD,NoMonFri,2023,2.49,17,0.83,10318.97,Y
GBPUSD,NoMonFri,2024,2.04,6,0.9,10186.79,Y
GBPUSD,NoMonFri,2025,0.72,6,1.33,9911.47,N
GBPUSD,NoMonFri,Full,1.67,48,1.32,10781.58,Y
GBPUSD,NoMonFri+H4IB+OB40,2022,1.63,17,1.6,10261.26,Y
GBPUSD,NoMonFri+H4IB+OB40,2023,2.64,14,0.83,10341.83,Y
GBPUSD,NoMonFri+H4IB+OB40,2024,1.54,4,0.9,10097.01,Y
GBPUSD,NoMonFri+H4IB+OB40,2025,0.86,5,0.83,9962.31,N
GBPUSD,NoMonFri+H4IB+OB40,Full,1.64,40,1.6,10715.04,Y
USDJPY,OB40,2022,5.19,5,0.77,10329.34,Y
USDJPY,OB40,2023,1.46,14,1.67,10174.44,Y
USDJPY,OB40,2024,1.17,8,1.65,10049.96,Y
USDJPY,OB40,2025,1.89,5,0.64,10148.93,Y
USDJPY,OB40,Full,1.86,34,2.0,10848.77,Y
