run_id,label,profit_factor,balance,max_dd_pct,traded,total_trades,win_rate,elapsed_s
1,"Baseline (LIMIT, tp=1.27)",1.04,10048.51,3.68% 369.28,58,101,"57/100 (57%)",569
2,"STOP + tp=1.27",1.19,10202.09,2.83% 285.87,69,106,"61/103 (59%)",394
3,"STOP + tp=1.5",1.22,10255.39,3.19% 324.46,69,106,"59/103 (57%)",388
4,"STOP + tp=2.0",1.12,10156.94,3.43% 353.09,69,106,"54/103 (52%)",384
5,"STOP + tp=2.5",1.03,10047.77,3.63% 372.49,69,106,"48/103 (47%)",413
6,"STOP + tp=3.0",0.75,9625.64,7.03% 716.64,69,106,"44/103 (43%)",397
7,"STOP + FVG=true",0.75,9698.03,6.72% 679.17,62,97,"51/96 (53%)",369
8,"STOP + tp=2.0 + FVG=true",0.71,9606.09,6.93% 706.97,62,97,"47/96 (49%)",337
9,"LIMIT + tp=2.0",0.98,9970.44,3.56% 360.07,58,101,"51/100 (51%)",553
10,"LIMIT + FVG=true",0.76,9731.41,6.68% 671.50,49,92,"48/91 (53%)",615
11,"STOP + D1Trend=false",1.00,9999.2,3.75% 377.52,82,107,"55/104 (53%)",389
12,"STOP + tp=2.0 + D1=false",0.99,9985.82,4.09% 423.10,82,107,"47/104 (45%)",385
