run_id,label,profit_factor,balance,max_dd_pct,traded,total_trades,win_rate,elapsed_s
1,"Baseline (LIMIT, KZ=08-17, D1+Macro)",1.04,10048.51,3.68% 369.28,58,101,"57/100 (57%)",580
2,"Profile=0 VeryAggressive (no filters)",0.76,9228.21,9.43% 953.96,191,195,"76/196 (39%)",1337
3,"Profile=1 Aggressive (wide KZ, D1=off)",0.90,9844.51,4.82% 488.36,79,116,"58/115 (50%)",903
4,"Profile=2 Balanced (med KZ, D1=off)",0.70,9885.48,2.29% 229.14,30,35,"18/33 (55%)",361
5,"Profile=3 Conservative (tight KZ, D1=on)",0.16,9824.59,1.75% 175.41,11,14,"6/14 (43%)",309
6,"Profile=4 VeryConservative (+H4 trend)",0.16,9824.59,1.75% 175.41,10,14,"6/14 (43%)",305
7,"STOP + tp=1.27",1.19,10202.09,2.83% 285.87,69,106,"61/103 (59%)",396
8,"STOP + tp=1.5",1.22,10255.39,3.19% 324.46,69,106,"59/103 (57%)",398
9,"STOP + tp=2.0",1.12,10156.94,3.43% 353.09,69,106,"54/103 (52%)",406
10,"STOP + tp=2.5",1.03,10047.77,3.63% 372.49,69,106,"48/103 (47%)",392
11,"STOP + tp=3.0",0.75,9625.64,7.03% 716.64,69,106,"44/103 (43%)",400
12,"LIMIT + tp=1.5",1.07,10086.65,3.70% 372.55,58,101,"55/100 (55%)",563
13,"LIMIT + tp=2.0",0.98,9970.44,3.56% 360.07,58,101,"51/100 (51%)",557
14,"LIMIT + tp=2.5",0.88,9822.67,4.78% 486.44,58,101,"45/100 (45%)",573
15,"LIMIT + tp=3.0",0.73,9585.88,7.28% 737.28,58,101,"42/100 (42%)",563
16,"KZ Tokyo+London (00-04 + 08-12)",0.71,9605.81,6.30% 632.10,47,96,"49/98 (50%)",543
17,"KZ London only (07-12)",0.95,9959.3,2.99% 300.77,44,77,"45/77 (58%)",549
18,"KZ NY only (13-17)",0.68,9779.8,3.98% 399.12,23,47,"21/46 (46%)",501
19,"KZ wide (07-17 + 19-23)",0.95,9935.89,3.79% 379.98,66,118,"65/117 (56%)",900
20,"KZ 3 sessions (00-04+08-12+13-17)",0.89,9850.34,5.32% 539.19,63,119,"70/122 (57%)",531
21,"D1Trend=false",0.93,9905.26,4.33% 434.27,71,101,"51/100 (51%)",549
22,"MacroTrend=false",1.08,10098.29,3.84% 387.20,78,101,"52/100 (52%)",549
23,"D1=false + Macro=false",0.92,9870.92,5.25% 529.53,99,101,"43/100 (43%)",549
24,"H4Trend=true",0.86,9864.1,3.95% 395.69,38,101,"62/100 (62%)",551
25,"FVG=true",0.76,9731.41,6.68% 671.50,49,92,"48/91 (53%)",612
26,"Skip09UTC=true",1.04,10048.51,3.68% 369.28,58,101,"57/100 (57%)",549
27,"outdatedOB=120",1.02,10024.41,4.86% 489.39,64,108,"60/107 (56%)",525
28,"outdatedOB=160",1.03,10040.57,4.70% 473.23,64,109,"61/108 (56%)",534
29,"tolerance=80",1.16,10194.58,3.67% 367.92,62,109,"63/108 (58%)",610
30,"tolerance=30",0.97,9965.68,3.69% 370.06,52,92,"52/91 (57%)",538
31,"inpRequireSweep=false (more signals)",0.87,9796.66,3.32% 333.60,52,179,"128/176 (73%)",764
32,"STOP + D1=false",1.00,9999.2,3.75% 377.52,82,107,"55/104 (53%)",388
33,"STOP + tp=2.0 + D1=false",0.99,9985.82,4.09% 423.10,82,107,"47/104 (45%)",390
34,"STOP + FVG + tp=2.0",0.71,9606.09,6.93% 706.97,62,97,"47/96 (49%)",342
35,"Profile=2 + tp=2.0",0.40,9710.53,3.12% 312.67,30,35,"15/33 (45%)",376
36,"Profile=1 + tp=3.0",0.57,9111.76,9.27% 931.31,79,116,"38/115 (33%)",896
37,"Profile=2 + STOP + tp=2.0",0.61,9793.6,2.77% 277.05,35,37,"n/a",599
38,"Tokyo KZ + D1=false",0.71,9604.21,6.27% 628.15,56,96,"46/98 (47%)",547
39,"Tokyo KZ + STOP + tp=2.0",0.67,9503.32,5.25% 526.10,55,98,"46/99 (46%)",391
40,"Skip09UTC + tp=2.0",0.98,9970.44,3.56% 360.07,58,101,"51/100 (51%)",555
41,"FVG + tp=2.0 + D1=false",0.69,9526.64,6.99% 713.62,61,92,"37/91 (41%)",618
