symbol,label,pf,trades,dd_pct,balance
EURUSD,DailyBias+OB40,1.0,32,1.71,9998.51
EURUSD,DailyBias+Skip09,1.21,35,2.3,10184.66
EURUSD,DailyBias+NoMonFri,1.09,19,1.56,10044.58
EURUSD,DailyBias+OB40+Skip09,1.0,32,1.71,9998.51
EURUSD,DailyBias+OB40+NoMonFri,1.02,18,1.56,10005.94
EURUSD,DailyBias+NoMonFri+Skip09,1.09,19,1.56,10044.58
EURUSD,DailyBias+OB40+NoMonFri+Skip09,1.02,18,1.56,10005.94
EURUSD,OB40+Skip09,1.13,48,4.13,10218.89
EURUSD,OB40+NoMonFri,1.09,31,4.26,10108.42
EURUSD,OB40+NoMonFri+Skip09,1.09,30,4.26,10107.7
