symbol,label,pf,trades,dd_pct,balance
EURUSD,Baseline,0.86,40,5.9,9742.34
EURUSD,D1Trend=true,0.86,40,5.9,9742.34
EURUSD,NoMonFri,1.06,33,4.77,10073.42
EURUSD,D1+NoMonFri,0.82,24,5.88,9771.55
EURUSD,OB40,1.13,49,4.12,10219.61
EURUSD,OB120,0.93,57,6.06,9847.05
EURUSD,D1+OB40,0.88,39,5.08,9804.33
EURUSD,STOP,1.03,62,5.27,10068.28
EURUSD,STOP+D1,0.86,123,6.33,0
EURUSD,TP=1.5,0.9,53,6.05,9793.62
EURUSD,TP=2.0,0.88,53,8.28,9714.58
EURUSD,TP=3.0,0.86,53,8.6,9642.7
EURUSD,D1+TP1.5,0.9,40,5.62,9794.87
EURUSD,D1+TP3.0,0.73,40,9.26,9393.38
EURUSD,Skip09,1.07,51,4.89,10142.67
EURUSD,BlockCHTF,0.87,42,4.94,9755.01
EURUSD,DailyBias,1.21,35,2.3,10184.66
EURUSD,D1+NoMonFri+OB40,0.83,24,5.37,9802.67
EURUSD,tol=80,0.94,57,5.79,9863.59
EURUSD,tol=30,0.99,52,5.5,9978.2
