
═══ PHASE 1: Sweep KZ1 (KZ2 fixed at 18-20 UTC) ═══
         KZ1          KZ2  Placed      PF    Score  bal
  KZ1=06-13  KZ2=18-20       0   155.39    0.0000  0
  KZ1=06-14  KZ2=18-20       0   155.39    0.0000  0
  KZ1=06-15  KZ2=18-20       0   155.39    0.0000  0
  KZ1=06-16  KZ2=18-20       0   155.39    0.0000  0
  KZ1=06-17  KZ2=18-20       0   155.39    0.0000  0
  KZ1=07-13  KZ2=18-20       0     1.08    0.0000  0
  KZ1=07-14  KZ2=18-20       0     1.08    0.0000  0
  KZ1=07-15  KZ2=18-20      20     0.96    0.3588  9651
  KZ1=07-16  KZ2=18-20      26     0.91    0.3368  8916
  KZ1=07-17  KZ2=18-20      26     0.91    0.3368  8916
  KZ1=08-13  KZ2=18-20      20     1.25    0.3588  9651
  KZ1=08-14  KZ2=18-20      20     1.25    0.3588  9651
  KZ1=08-15  KZ2=18-20      19     1.09    0.4270  10734
  KZ1=08-16  KZ2=18-20      25     0.99    0.4031  9918
  KZ1=08-17  KZ2=18-20      25     1.35    0.4031  9918
  KZ1=09-13  KZ2=18-20      15     1.73    0.8636  14795
  KZ1=09-14  KZ2=18-20      15     1.73    0.8636  14795
  KZ1=09-15  KZ2=18-20      16     1.48    0.7275  13302
  KZ1=09-16  KZ2=18-20      22     1.21    0.5982  12238
  KZ1=09-17  KZ2=18-20      22     1.57    0.5982  12238
  KZ1=10-13  KZ2=18-20      13     1.56    0.7090  13538
  KZ1=10-14  KZ2=18-20      13     1.56    0.7090  13538
  KZ1=10-15  KZ2=18-20      14     1.33    0.5939  12206
  KZ1=10-16  KZ2=18-20      20     1.12    0.5128  11219
  KZ1=10-17  KZ2=18-20      20     1.49    0.5128  11219
  KZ1=11-14  KZ2=18-20      11     1.88    0.9279  13460
  KZ1=11-15  KZ2=18-20      12     1.47    0.6902  12128
  KZ1=11-16  KZ2=18-20      18     1.14    0.4781  11121
  KZ1=11-17  KZ2=18-20      18     1.58    0.4781  11121
  KZ1=12-15  KZ2=18-20      10     1.88    0.8557  12530
  KZ1=12-16  KZ2=18-20      16     1.24    0.5362  11568
  KZ1=12-17  KZ2=18-20      16     1.79    0.5362  11568

→ Best KZ1: 11-14  (score=0.9279)

═══ PHASE 2: Sweep KZ2 (KZ1 fixed at 11-14 UTC) ═══
         KZ1          KZ2  Placed      PF    Score  bal
  KZ1=11-14  KZ2=15-18      16     1.78    0.5362  11568
  KZ1=11-14  KZ2=15-19      16     1.58    0.5362  11568
  KZ1=11-14  KZ2=15-20      16     1.58    0.5362  11568
  KZ1=11-14  KZ2=15-21      16     1.58    0.5362  11568
  KZ1=11-14  KZ2=15-22      16     1.58    0.5362  11568
  KZ1=11-14  KZ2=15-23      16     1.68    0.5362  11568
  KZ1=11-14  KZ2=16-18      16     1.77    0.5362  11568
  KZ1=11-14  KZ2=16-19      16     1.55    0.5362  11568
  KZ1=11-14  KZ2=16-20      16     1.55    0.5362  11568
  KZ1=11-14  KZ2=16-21      16     1.55    0.5362  11568
  KZ1=11-14  KZ2=16-22      16     1.55    0.5362  11568
  KZ1=11-14  KZ2=16-23      16     1.67    0.5362  11568
  KZ1=11-14  KZ2=17-19      16     2.18    0.5362  11568
  KZ1=11-14  KZ2=17-20      16     2.18    0.5362  11568
  KZ1=11-14  KZ2=17-21      16     2.18    0.5362  11568
  KZ1=11-14  KZ2=17-22      16     2.18    0.5362  11568
  KZ1=11-14  KZ2=17-23      16     2.40    0.5362  11568
  KZ1=11-14  KZ2=18-20      11     1.88    0.9279  13460
  KZ1=11-14  KZ2=18-21      11     1.88    0.9279  13460
  KZ1=11-14  KZ2=18-22      12     1.88    0.9279  13460
  KZ1=11-14  KZ2=18-23      13     2.29    1.2115  16096
  KZ1=11-14  KZ2=19-21       8     1.69    0.7323  12653
  KZ1=11-14  KZ2=19-22       9     1.69    0.7323  12653
  KZ1=11-14  KZ2=19-23      10     2.11    1.0152  15097
  KZ1=11-14  KZ2=20-22       8     2.62    1.2046  14183
  KZ1=11-14  KZ2=20-23       9     3.24    1.6327  16938
  KZ1=11-14  KZ2=21-23       9     3.24    1.6327  16938

═══ VALIDATION: Top-5 with Model=4 (real ticks, 2022-2025) ═══
                   Config   M1 score  M4 traded    M4 PF   M4 score  M4 balance
  KZ1=11-14 KZ2=20-23          1.6327          11      3.70      2.1672  19193
  KZ1=11-14 KZ2=21-23          1.6327          10      3.60      1.9541  18639
  KZ1=11-14 KZ2=18-23          1.2115          15      2.59      1.5537  18234
  KZ1=11-14 KZ2=20-22          1.2046          10      3.13      1.7773  16022
  KZ1=11-14 KZ2=19-23          1.0152          12      2.41      1.3694  17103

★ WINNER: KZ1=11-14 KZ2=20-23
  M4 score=2.1672  PF=3.70  trades=11  balance=19193

Results saved: /home/charles/.mt5/drive_c/Program Files/MetaTrader 5/MQL5/Experts/orderBlock/kz_results.csv
claude.set updated to winner config.
