label,enable,strat,points,atr,trigger,score,pf,traded,balance,phase
NO_TSL,False,0,800,2.0,0,2.2621,3.97,11,20665.08,0
CLASSIC pts=400 FIB127,True,0,400,2.0,1,2.2621,3.97,11,20665.08,1
CLASSIC pts=400 FIB161,True,0,400,2.0,2,2.2621,3.97,11,20665.08,1
CLASSIC pts=600 FIB127,True,0,600,2.0,1,2.2621,3.97,11,20665.08,1
CLASSIC pts=600 FIB161,True,0,600,2.0,2,2.2621,3.97,11,20665.08,1
CLASSIC pts=800 FIB127,True,0,800,2.0,1,2.2621,3.97,11,20665.08,1
CLASSIC pts=800 FIB161,True,0,800,2.0,2,2.2621,3.97,11,20665.08,1
CLASSIC pts=1000 FIB127,True,0,1000,2.0,1,2.2621,3.97,11,20665.08,1
CLASSIC pts=1000 FIB161,True,0,1000,2.0,2,2.2621,3.97,11,20665.08,1
CLASSIC pts=1200 ALWAYS,True,0,1200,2.0,0,2.2621,3.97,11,20665.08,1
CLASSIC pts=1200 FIB127,True,0,1200,2.0,1,2.2621,3.97,11,20665.08,1
CLASSIC pts=1200 FIB161,True,0,1200,2.0,2,2.2621,3.97,11,20665.08,1
ATR x1.0 ALWAYS,True,1,800,1.0,0,2.2621,3.97,11,20665.08,2
ATR x1.0 FIB127,True,1,800,1.0,1,2.2621,3.97,11,20665.08,2
ATR x1.5 ALWAYS,True,1,800,1.5,0,2.2621,3.97,11,20665.08,2
ATR x1.5 FIB127,True,1,800,1.5,1,2.2621,3.97,11,20665.08,2
ATR x2.0 ALWAYS,True,1,800,2.0,0,2.2621,3.97,11,20665.08,2
ATR x2.0 FIB127,True,1,800,2.0,1,2.2621,3.97,11,20665.08,2
ATR x2.5 ALWAYS,True,1,800,2.5,0,2.2621,3.97,11,20665.08,2
ATR x2.5 FIB127,True,1,800,2.5,1,2.2621,3.97,11,20665.08,2
ATR x3.0 ALWAYS,True,1,800,3.0,0,2.2621,3.97,11,20665.08,2
ATR x3.0 FIB127,True,1,800,3.0,1,2.2621,3.97,11,20665.08,2
CLASSIC pts=800 ALWAYS,True,0,800,2.0,0,2.1672,3.7,11,19193.4,1
CLASSIC pts=1000 ALWAYS,True,0,1000,2.0,0,2.1442,3.65,11,18881.47,1
CLASSIC pts=600 ALWAYS,True,0,600,2.0,0,1.9872,3.28,11,17158.66,1
CLASSIC pts=400 ALWAYS,True,0,400,2.0,0,1.7006,2.7,11,14821.69,1
