symbol,test,pf,trades,dd_pct,net
USDJPY,Baseline,1.8,35,2.0,0.0
USDJPY,NoTrail,1.8,35,2.0,0.0
USDJPY,ATR-Trail,1.31,35,1.96,0.0
USDJPY,ATR+FIB127,1.92,35,2.02,0.0
USDJPY,ATR+FIB161,1.68,35,1.97,0.0
USDJPY,Classic+FIB127,2.96,35,1.99,0.0
USDJPY,BreakEven,1.63,35,1.95,0.0
USDJPY,BE+ATR-Trail,1.76,35,1.97,0.0
EURJPY,Baseline,1.72,46,1.38,0.0
EURJPY,NoTrail,1.72,46,1.38,0.0
EURJPY,ATR-Trail,1.62,46,1.24,0.0
EURJPY,ATR+FIB127,1.68,46,1.38,0.0
EURJPY,ATR+FIB161,1.72,46,1.38,0.0
EURJPY,Classic+FIB127,1.72,46,1.38,0.0
EURJPY,BreakEven,1.63,46,1.68,0.0
EURJPY,BE+ATR-Trail,1.63,46,1.68,0.0
GBPUSD,Baseline,1.67,48,1.32,0.0
GBPUSD,NoTrail,1.67,48,1.32,0.0
GBPUSD,ATR-Trail,1.15,48,1.98,0.0
GBPUSD,ATR+FIB127,1.67,48,1.32,0.0
GBPUSD,ATR+FIB161,1.67,48,1.32,0.0
GBPUSD,Classic+FIB127,1.67,48,1.32,0.0
GBPUSD,BreakEven,1.54,48,1.52,0.0
GBPUSD,BE+ATR-Trail,1.54,48,1.52,0.0
