symbol,label,pf,trades,dd_pct,balance
USDJPY,Baseline,1.63,39,1.97,10740.82
USDJPY,H4 InsideBar,1.58,33,1.95,10657.7
USDJPY,D1 Wick,1.42,24,2.94,10393.24
USDJPY,H4IB + D1Wick,1.54,21,2.3,10480.08
USDJPY,No Mon/Fri,1.44,27,1.69,10000
USDJPY,outdatedOB=40,1.86,34,2.0,10000
USDJPY,outdatedOB=120,1.55,42,2.01,10000
USDJPY,outdatedOB=200,1.46,44,2.01,10000
USDJPY,maxWick=1.2,1.63,39,1.97,10000
USDJPY,maxWick=2.0,1.63,39,1.97,10740.82
USDJPY,minBody=5,1.63,39,1.97,10740.82
USDJPY,minBody=20,1.63,39,1.97,10740.82
USDJPY,TrailStop=400,1.5,39,1.95,10499.36
USDJPY,TrailStop=800,1.6,39,1.95,10666.7
USDJPY,VolFilter,1.45,30,2.73,10442.9
EURJPY,Baseline,1.42,79,2.85,10522.38
EURJPY,H4 InsideBar,1.25,69,3.11,10305.66
EURJPY,D1 Wick,1.28,54,2.91,10314.92
EURJPY,H4IB + D1Wick,1.16,48,3.1,10173.28
EURJPY,No Mon/Fri,1.81,46,1.38,10500.51
EURJPY,outdatedOB=40,1.46,70,2.82,10514.0
EURJPY,outdatedOB=120,1.28,84,3.59,10410.8
EURJPY,outdatedOB=200,1.23,87,3.64,10353.27
EURJPY,maxWick=1.2,1.42,79,2.85,10522.38
EURJPY,maxWick=2.0,1.42,79,2.85,10522.38
EURJPY,minBody=5,1.42,79,2.85,10522.38
EURJPY,minBody=20,1.42,79,2.85,10522.38
EURJPY,TrailStop=400,1.47,79,2.06,10541.01
EURJPY,TrailStop=800,1.46,79,2.85,10564.03
EURJPY,VolFilter,1.37,71,2.33,10418.92
GBPUSD,Baseline,1.3,73,3.85,10597.16
GBPUSD,H4 InsideBar,1.41,62,3.73,10754.14
GBPUSD,D1 Wick,1.1,53,4.77,10180.35
GBPUSD,H4IB + D1Wick,1.21,45,4.67,10362.22
GBPUSD,No Mon/Fri,1.67,48,1.32,10781.58
GBPUSD,outdatedOB=40,1.41,65,2.72,10725.47
GBPUSD,outdatedOB=120,1.31,76,4.36,10693.28
GBPUSD,outdatedOB=200,1.4,80,3.67,10943.8
GBPUSD,maxWick=1.2,1.3,73,3.85,10597.16
GBPUSD,maxWick=2.0,1.3,73,3.85,10597.16
GBPUSD,minBody=5,1.3,73,3.85,10597.16
GBPUSD,minBody=20,1.3,73,3.85,10597.16
GBPUSD,TrailStop=400,1.23,73,3.92,10445.28
GBPUSD,TrailStop=800,1.3,73,3.85,10597.16
GBPUSD,VolFilter,1.22,56,2.73,10299.24
