symbol,test,pf,trades,dd_pct,net
USDJPY,Baseline,1.8,35,2.0,0.0
USDJPY,MinRR=0.5,2.5,36,1.82,0.0
USDJPY,MinRR=0.8,2.5,36,1.82,0.0
USDJPY,MinRR=1.0,2.5,36,1.82,0.0
USDJPY,MaxSL=500,1.8,35,2.0,0.0
USDJPY,MaxSL=300,1.8,35,2.0,0.0
USDJPY,MinSL=30,1.8,35,2.0,0.0
USDJPY,MinSL=50,1.8,35,2.0,0.0
USDJPY,NoPartial,1.8,35,2.0,0.0
USDJPY,Protection,1.8,35,2.0,0.0
USDJPY,MinRR0.5+Protection,2.5,36,1.82,0.0
EURJPY,Baseline,1.72,46,1.38,0.0
EURJPY,MinRR=0.5,1.88,44,1.44,0.0
EURJPY,MinRR=0.8,1.81,39,1.8,0.0
EURJPY,MinRR=1.0,1.89,37,2.04,0.0
EURJPY,MaxSL=500,1.72,46,1.38,0.0
EURJPY,MaxSL=300,1.72,46,1.38,0.0
EURJPY,MinSL=30,1.72,46,1.38,0.0
EURJPY,MinSL=50,1.72,46,1.38,0.0
EURJPY,NoPartial,1.72,46,1.38,0.0
EURJPY,Protection,1.72,46,1.38,0.0
EURJPY,MinRR0.5+Protection,1.88,44,1.44,0.0
GBPUSD,Baseline,1.67,48,1.32,0.0
GBPUSD,MinRR=0.5,2.36,48,1.42,0.0
GBPUSD,MinRR=0.8,2.33,48,1.42,0.0
GBPUSD,MinRR=1.0,2.47,46,1.84,0.0
GBPUSD,MaxSL=500,1.67,48,1.32,0.0
GBPUSD,MaxSL=300,1.67,48,1.32,0.0
GBPUSD,MinSL=30,1.67,48,1.32,0.0
GBPUSD,MinSL=50,1.67,48,1.32,0.0
GBPUSD,NoPartial,1.67,48,1.32,0.0
GBPUSD,Protection,1.67,48,1.32,0.0
GBPUSD,MinRR0.5+Protection,2.36,48,1.42,0.0
