run_id,label,profit_factor,balance,max_dd_pct,traded,total_trades,win_rate,elapsed_s
1,"Baseline (probe settings, 6T 0% WR)",0.00,9802.22,1.98% 197.78,12,6,"0/6 (0%)",148
2,"ATR_max=0.15 (DXY high-vol filter)",0.00,9802.22,1.98% 197.78,12,6,"0/6 (0%)",150
3,"ATR_max=0.20",0.00,9802.22,1.98% 197.78,12,6,"0/6 (0%)",148
4,"ATR_max=0.30",0.00,9802.22,1.98% 197.78,12,6,"0/6 (0%)",150
5,"ATR_max=0.50",0.00,9802.22,1.98% 197.78,12,6,"0/6 (0%)",146
6,"ATR_max=1.0 (essentially off)",0.00,9802.22,1.98% 197.78,12,6,"0/6 (0%)",146
7,"Profile=0 VeryAggressive (no filters)",0.65,8968.11,12.93% 1 292.54,80,80,"21/80 (26%)",528
8,"Profile=1 Aggressive (wide KZ, D1=off)",0.58,9245.69,10.15% 1 015.13,40,40,"8/40 (20%)",323
9,"Profile=2 Balanced (med KZ, D1=off)",0.74,9923.21,2.95% 294.90,13,9,"1/9 (11%)",176
10,"Profile=3 Conservative",2.22,10122.07,1.00% 100.39,5,3,"1/3 (33%)",100
11,"STOP + tp=1.27",0.00,9598.8,4.01% 401.20,14,8,"0/8 (0%)",102
12,"STOP + tp=2.0",0.00,9598.8,4.01% 401.20,14,8,"0/8 (0%)",104
13,"STOP + tp=3.0",0.00,9598.8,4.01% 401.20,14,8,"0/8 (0%)",102
14,"LIMIT + tp=2.0",0.00,9802.22,1.98% 197.78,12,6,"0/6 (0%)",154
15,"LIMIT + tp=3.0",0.00,9802.22,1.98% 197.78,12,6,"0/6 (0%)",152
16,"D1Trend=false",0.00,9705.07,2.95% 294.93,16,9,"0/9 (0%)",149
17,"MacroTrend=false",1.41,10163.84,1.97% 197.33,25,15,"6/15 (40%)",213
18,"D1=false + Macro=false",0.93,9957.61,2.02% 205.64,32,19,"6/19 (32%)",217
19,"FVG=true",0.00,9802.22,1.98% 197.78,12,6,"0/6 (0%)",155
20,"Skip09UTC=true",0.00,9802.22,1.98% 197.78,12,6,"0/6 (0%)",151
21,"KZ NY-focused (13-17 + 20-23)",2.21,10121.76,1.01% 100.70,9,4,"1/4 (25%)",117
22,"KZ London (07-12 + 13-17)",2.21,10121.76,1.01% 100.70,9,4,"0/6 (0%)",107
23,"KZ wide (07-17 + 19-23)",1.11,10121.76,1.98% 197.78,9,7,"1/7 (14%)",605
24,"outdatedOB=160",0.00,9801.86,1.98% 198.14,11,7,"0/7 (0%)",144
25,"tolerance=30",0.00,9802.22,1.98% 197.78,12,6,"0/6 (0%)",142
26,"minBodySize=20 (smaller body req for DXY)",0.00,9802.22,1.98% 197.78,12,6,"0/6 (0%)",160
27,"minBodySize=10",0.00,9802.22,1.98% 197.78,12,6,"0/6 (0%)",170
28,"ATR_max=0.3 + STOP + tp=2.0",0.00,9598.8,4.01% 401.20,14,8,"0/8 (0%)",120
29,"ATR_max=0.3 + D1=false",0.00,9705.07,2.95% 294.93,16,9,"0/9 (0%)",168
30,"ATR_max=0.3 + Profile=2",0.74,9923.21,2.95% 294.90,13,9,"1/9 (11%)",194
31,"Profile=2 + STOP + tp=2.0",1.22,10088.86,3.09% 309.33,16,10,"2/10 (20%)",106
32,"ATR_max=0.3 + Profile=1 + tp=3.0",1.32,10633.65,7.55% 777.03,40,40,"5/40 (12%)",361
33,"ATR_max=0.3 + KZ NY + STOP + tp=2.0",1.24,10071.93,3.02% 302.33,11,6,"1/6 (17%)",84
34,"minBody=10 + tol=30 + ATR_max=0.3",0.00,9802.22,1.98% 197.78,12,6,"0/6 (0%)",164
