run_id,label,profit_factor,balance,max_dd_pct,traded,total_trades,win_rate,elapsed_s
1,"Baseline (default claude.set params)",0.00,9802.22,1.98% 197.78,12,6,"0/6 (0%)",148
2,"ATR_max=0.3 (USDX M15 high vol filter)",0.00,9802.22,1.98% 197.78,12,6,"0/6 (0%)",156
3,"ATR_max=0.5",0.00,9802.22,1.98% 197.78,12,6,"0/6 (0%)",162
4,"ATR_max=1.0 (effectively off for USDX)",0.00,9802.22,1.98% 197.78,12,6,"0/6 (0%)",160
5,"STOP orders (typeofOrder=2)",0.00,9598.8,4.01% 401.20,14,8,"0/8 (0%)",110
6,"STOP + tp=2.0",0.00,9598.8,4.01% 401.20,14,8,"0/8 (0%)",106
7,"D1Trend=false",0.00,9705.07,2.95% 294.93,16,9,"0/9 (0%)",151
8,"MacroTrend=false",1.41,10163.84,1.97% 197.33,25,15,"6/15 (40%)",219
9,"LIMIT + tp=2.0",0.00,9802.22,1.98% 197.78,12,6,"0/6 (0%)",144
10,"LIMIT + tp=3.0",0.00,9802.22,1.98% 197.78,12,6,"0/6 (0%)",148
11,"ATR_max=0.3 + tp=2.0",0.00,9802.22,1.98% 197.78,12,6,"0/6 (0%)",145
12,"ATR_max=0.3 + STOP",0.00,9598.8,4.01% 401.20,14,8,"0/8 (0%)",108
13,"ATR_max=0.3 + D1=false",0.00,9705.07,2.95% 294.93,16,9,"0/9 (0%)",157
